,PROPNUM,BOLO_ID,LEASE,API,API10,D_DATE,Liquid_bbl,Gas_mcf,Water_Bbl,Well_Count,Days,TP,CP,CHK
0,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,3/27/17,0.0,0.0,0.0,1,,2200.0,0.0,0.0
1,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,3/28/17,0.0,0.0,98.0,1,,2132.0,0.0,10.0
2,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,3/29/17,0.0,0.0,895.0,1,,2161.0,0.0,12.0
3,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,3/30/17,115.8564999,0.0,1104.0,1,,2112.0,0.0,14.0
4,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,3/31/17,157.5314999,119.8382749,1058.0,1,,2113.0,0.0,14.0
5,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/1/17,331.0306907,218.0203327,1195.0,1,,2032.0,0.0,16.0
6,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/2/17,448.0573952,280.1319018,1264.0,1,,2014.0,0.0,16.0
7,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/3/17,608.294583,311.9666667,1311.0,1,,1945.0,0.0,18.0
8,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/4/17,807.2349333,464.9404642,1445.0,1,,1850.0,0.0,20.0
9,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/5/17,879.0146397,535.1700288,1338.0,1,,1800.0,0.0,20.0
10,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/6/17,897.9558505,560.2685874,1165.0,1,,1775.0,0.0,20.0
11,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/7/17,920.0,571.8304147,1110.0,1,,1740.0,0.0,20.0
12,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/8/17,978.0,574.296846,1025.0,1,,1700.0,20.0,20.0
13,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/9/17,919.2557171,575.8331789,997.0,1,,1675.0,20.0,20.0
14,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/10/17,914.1942793,578.3407407,850.0,1,,1650.0,20.0,20.0
15,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/11/17,953.6941944,576.2188962,802.0,1,,1600.0,25.0,20.0
16,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/12/17,924.5203462,580.896679,833.0,1,,1580.0,25.0,20.0
17,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/13/17,966.8179861,581.6326531,732.0,1,,1550.0,25.0,20.0
18,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/14/17,922.6182271,579.0865116,665.0,1,,1525.0,25.0,20.0
19,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/15/17,930.9780757,576.758427,660.0,1,,1500.0,25.0,20.0
20,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/16/17,932.6728291,572.7939793,653.0,1,,1500.0,25.0,20.0
21,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/17/17,881.2022724,567.5610687,473.0,1,,1460.0,25.0,20.0
22,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/18/17,936.264221,560.6382153,602.0,1,,1420.0,25.0,20.0
23,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/19/17,902.9701362,558.9199614,563.0,1,,1400.0,25.0,20.0
24,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/20/17,884.1446095,554.4897959,560.0,1,,1365.0,25.0,20.0
25,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/21/17,849.648648,549.609421,502.0,1,,1350.0,25.0,20.0
26,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/22/17,863.9926927,543.6950853,532.0,1,,1350.0,25.0,20.0
27,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/23/17,873.0429677,538.7254509,498.0,1,,1350.0,25.0,20.0
28,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/24/17,851.9140655,533.7393939,492.0,1,,1300.0,25.0,20.0
29,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/25/17,831.198911,528.0676923,460.0,1,,1270.0,25.0,20.0
30,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/26/17,849.4561171,523.5077559,472.0,1,,1250.0,25.0,20.0
31,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/27/17,796.3854238,517.4160584,462.0,1,,1240.0,25.0,20.0
32,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/28/17,829.9671572,512.5289779,448.0,1,,1220.0,25.0,20.0
33,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/29/17,811.3734164,506.7379679,412.0,1,,1220.0,25.0,20.0
34,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,4/30/17,800.2152133,502.6408602,403.0,1,,1220.0,25.0,20.0
35,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,5/1/17,807.0541534,496.9071274,348.0,1,,1180.0,25.0,20.0
36,Q9HHGQ7E47,60463,ALTIMORE 1H,420513399700,4205133997,5/2/17,795.371077,492.5551913,430.0,1,,1180.0,25.0,20.0
