API14,API/UWI,Well Name,Well Number,Lease Name,Operator Alias,Reported Operator,Field,County/Parish,Target Formation,DI Landing Zone,KB Elevation,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Perforated Interval Length,Horizontal Length,First Prod Date,Start Date (First Treatment Job),End Date (First Treatment Job),Qualifier (First Treatment Job),Stage Count (First Treatment Job),Max Injection Rate (First Treatment Job),Max Injection Pressure (First Treatment Job),Total Proppant (First Treatment Job),Total Fluid (First Treatment Job),Total Water (First Treatment Job),Total Additive (First Treatment Job),Proppant Per Horizontal Foot (First Treatment Job),Proppant per Perforated Foot (First Treatment Job),Fluid per Perforated Foot (First Treatment Job),Proppant Concentration (lbs/gal) (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,First Test Gas Gravity,First Test Oil Gravity,First Test GOR,First Test Casing Pressure,First Test Choke Size,First Test Flowing Tubing Pressure,Peak BOE,Peak Gas,Peak Oil,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Peak BOE per 1MM lbs proppant,Peak Gas per 1MM lbs proppant,Peak Oil per 1MM lbs proppant,Peak BOE per 1000 BBL Fluid,Peak Gas per 1000 BBL Fluid,Peak Oil per 1000 BBL Fluid,Cum BOE,Cum Gas,Cum Oil,Cum Water,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 6 BOE per 1MM lbs proppant,First 6 Gas per 1MM lbs proppant,First 6 Oil per 1MM lbs proppant,First 6 BOE per 1000 BBL Fluid,First 6 Gas per 1000 BBL Fluid,First 6 Oil per 1000 BBL Fluid,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,First 12 BOE per 1MM lbs proppant,First 12 Gas per 1MM lbs proppant,First 12 Oil per 1MM lbs proppant,First 12 BOE per 1000 BBL Fluid,First 12 Gas per 1000 BBL Fluid,First 12 Oil per 1000 BBL Fluid,First 24 BOE,First 24 Gas,First 24 Oil,First 24 Water,First 60 BOE,First 60 Gas,First 60 Oil,First 60 Water,Full Oil EUR,Full Gas EUR,EUR Oil per perforated Ft,EUR Gas per perforated Ft,EUR (BE) Oil per 1MM lbs proppant,EUR (BE) Gas per 1MM lbs proppant,EUR (BE) Oil per 1000 BBL Fluid,EUR (BE) Gas per 1000 BBL Fluid,Has Digitized Trajectory (Y/N),Has Well Log (LAS) (Y/N),Has Well Log (Raster) (Y/N),LAS Mnemonics,Country,Basin,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Surface Latitude (WGS84),Surface Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84),UWI
4.21E+13,4205134127,JRG C,1H,JRG C,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),AUSTIN CHALK-3,,,329.06,,,OIL,DRILLED,2/13/18,,H,,,,6070.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,225,,"SHAW, L",30.4053665,-96.4177769,30.3944472,-96.4032197,4205134127
4.21E+13,4205134144,MCKINLEY,2H,MCKINLEY,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,292.48,,,OIL & GAS,DRILLED,3/19/18,,H,,,,6105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,38,,"MC FADDEN, N A",30.5267027,-96.555247,30.5386727,-96.5688431,4205134144
4.23E+13,4228732712,BIEBERSTEIN EF UNIT,1,BIEBERSTEIN EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,LEE (TX),EAGLEFORD,,,312.85,,,OIL & GAS,DRILLED,,,H,,,,6614.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,3,,"BIRD, T",30.3368046,-96.8782416,30.3246342,-96.8626619,4228732712
4.23E+13,4228732713,DISMUKES EF UNIT,1,DISMUKES EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,LEE (TX),EAGLEFORD,,,312.98,,,OIL & GAS,DRILLED,,,H,,,,5960.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,3,,"BIRD, T",30.3368123,-96.87815,30.3487806,-96.8910517,4228732713
4.21E+13,4205134147,MCKINLEY,3H,MCKINLEY,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,292.09,,,OIL & GAS,DRILLED,3/21/18,,H,,,,6416.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,38,,"MC FADDEN, N A",30.5266455,-96.5553157,30.5372309,-96.5716355,4205134147
4.21E+13,4205134152,REED EF UNIT,1H,REED EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,401.95,,,OIL & GAS,DRILLED,4/18/18,,H,,,,8629.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,195,,"PORTER, J W",30.4689626,-96.7722665,30.4855103,-96.7918975,4205134152
4.21E+13,4205134030,SNAP I,1H,SNAP I,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,235.81,15650,8663.87,OIL & GAS,ACTIVE,5/31/17,,H,,,,6841.87,7/1/17,7/9/17,7/22/17,AdditiveSummary,,,,23046572,,357405,245863,3368.461,,,,,,,,,,,,,,,,,,,19268,13507,17017,,,,836.05,586.07,738.37,,,,94215,66795,83082,,75227,53774,66265,,,,,3264.13,2333.28,2875.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,22,,"FALENASH, C",30.5640723,-96.5029144,30.577899,-96.5180701,42-051-34030-00
4.21E+13,4205134031,NORM EF UNIT,1H,NORM EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,321.61,13575,6955.69,OIL & GAS,ACTIVE,5/3/17,,H,,,,6100.47,7/1/17,7/3/17,7/14/17,AdditiveSummary,,,,23141519,,322340,56758,3793.3994,,,,,,,,,,,,,,,,,,,15250,3445,14676,,,,658.99,148.87,634.18,,,,71296,17205,68429,,57367,13709,55083,,,,,2478.96,592.4,2380.27,,,,,,,,,,,,,,,,,,,,,,,,,734156,184587,,,31724.62,7976.44,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,8,,"CARNAGHAN, M",30.6196498,-96.6903321,30.6066469,-96.6774466,42-051-34031-00
4.21E+13,4205134032,GREENWOOD EF UNIT,1,GREENWOOD EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,384.66,14426,7517.23,OIL & GAS,ACTIVE,7/12/17,,H,,,,7016.75,9/1/17,8/15/17,9/1/17,AdditiveSummary,,,,23692189,,347911,225568,3376.5189,,,,,,,,,,,,,,,,,,,13724,2916,13238,,,,579.26,123.08,558.75,,,,60918,11171,59056,,60917,11171,59056,,,,,2571.18,471.51,2492.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,26,,"GREENWOOD, E",30.4525274,-96.7635054,30.4659889,-96.7792437,42-051-34032-00
4.21E+13,4205134034,BENNETT B,7H,BENNETT B,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,287.38,14520,9541.22,OIL & GAS,ACTIVE,5/22/17,,H,,,,4868.03,7/1/17,6/23/17,6/30/17,AdditiveSummary,,,,13453375,,255172.62,1182856,2763.6179,,,,,,,,,,,,,,,,,,,13485,51564,4891,,,,1002.35,3832.79,363.55,,,,70644,275058,24801,,55566,214263,19856,,,,,4130.26,15926.34,1475.91,,,,,,,,,,,,,,,,,,,,,,,,,58218,645678,,,4327.39,47993.76,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,4,,"BENNETT, C H",30.4331868,-96.4821444,30.4457861,-96.4953667,42-051-34034-00
